Ref ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
1,,,,new orleans,chicago,,,,,,new orleans,new orleans,dallas,new york,boston,brooklyn,charlotte,,,,,,new orleans,,,,,,,,,new orleans,new orleans,,,,,,,,,,,,,,,,,,new orleans,,,,,,,new orleans,,,,,,,,,,,,,,,,new orleans,new orleans,dallas,san antonio,denver,memphis,,,,,,,,,oakland,los angeles,dallas,,,,,,,,,,new orleans,,,,,,,new orleans,,,,,,,oakland,,,,,minneapolis,oakland,dallas,new orleans,,,,,,,,,,,minneapolis,denver,charlotte,denver,los angeles,dallas,,,,,,new orleans,,,,,,,,,,,,,oakland,los angeles,chicago,new york,,,,,,,,,,new orleans,,,,,,minneapolis,san antonio
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minneapolis,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,denver,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indianapolis,cleveland,atlanta,cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minneapolis,milwaukee
7,,,,,,,,,san antonio,oklahoma city,toronto,atlanta,,,,,,,san antonio,san antonio,,,,,,,,,,,,,,,,,,,chicago,,,,,,,charlotte,,,,,,,chicago,chicago,,,,,,,,,,,,,chicago,,,,,san antonio,,,,,,,,,chicago,,,,,,,,,,,,,,,,,,,,,,,san antonio,charlotte,orlando,,,,,,,,chicago,orlando,,,,,,,,,,,,,,,,,,chicago,,,,,,,,,chicago,,,,,,,,,san antonio,san antonio,,,,,,,,,,charlotte,,,,,,,,,,,,,,chicago,charlotte
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new orleans,,,,,,,,,,,,,,,,,,,,,los angeles,los angeles,new orleans,,,,,,,,,,,,,,memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new orleans,,,,,,,,,,,,,,,new orleans,atlanta,indianapolis,new orleans,new orleans,,,,,,,,,,,,new orleans,,,,,,,,indianapolis,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,salt lake city,dallas,oklahoma city,minneapolis,,,,,,oklahoma city,minneapolis,,,,,portland,portland,oklahoma city,dallas,salt lake city,oklahoma city,denver,,,,oakland,phoenix,denver,indianapolis,indianapolis,minneapolis,,,,,oklahoma city,oklahoma city,portland,oakland,phoenix,oklahoma city,,,,dallas,new york,dallas,,,,,,oklahoma city,,,,,,,oklahoma city,,,,,oakland,sacramento,,,,,,,,phoenix,sacramento,phoenix,sacramento,phoenix,denver,,,,salt lake city,denver,washington,oklahoma city,,,,,oklahoma city,salt lake city,denver,,,,,,salt lake city,,,,,,,,oakland,,,,,,sacramento,salt lake city,sacramento,,,,,,,,,,,,dallas,oakland,,,,,,sacramento,phoenix,oklahoma city,,,,,oakland,,,,,oklahoma city,denver,washington,washington,new york,washington,,,,,oakland,oakland,portland,,,,,phoenix,denver,minneapolis,oakland,phoenix,,,,,,dallas,new york
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,minneapolis,,,,,,,new york,orlando,new york,atlanta,orlando,philadelphia,washington,,,,,,,,,,brooklyn,,,,,,,cleveland,,,,,,,,,detroit,new york,charlotte,brooklyn,indianapolis,cleveland,,,,,chicago,,,,,,,,,milwaukee,,,,,,new york,atlanta,,,,,,,,,minneapolis,cleveland,toronto,milwaukee,cleveland,new orleans,,,,,,,,,minneapolis,detroit,minneapolis,new york,toronto,indianapolis,,,,new york,indianapolis,cleveland,new york,detroit,new york,,,,new york,brooklyn,orlando,philadelphia,chicago,philadelphia,,,,,,,,,,,,,,,cleveland,,,,,,,,minneapolis,detroit,milwaukee,charlotte,new york,detroit,,,,,,,,,,new york,,,,,,milwaukee,,,,,,toronto,,,,,,indianapolis,,,
15,,orlando,philadelphia,orlando,philadelphia,,,,,,,,,,,,,,,,orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orlando,,,,,,,,,,,,,,,,,,orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,orlando,,,,,,orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orlando,,,,,,,,,,,,,,,,,,,orlando,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philadelphia,washington,brooklyn,washington,,,,,,,,,,,,,,,,,,,,,,,,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philadelphia,washington,orlando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minneapolis,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,sacramento,sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sacramento,,,,,,,sacramento,,,,,,,,,,,,,,,,,sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sacramento,,,
18,,,,,,,,,phoenix,,,,,,,,,,,,,,,,,,,,,,,milwaukee,houston,,,,,,chicago,,,,,,,,,,,,,,milwaukee,atlanta,,,,,,,,,,,,,chicago,houston,,,,,,,,,houston,los angeles,cleveland,,,,,,,,,houston,phoenix,dallas,houston,atlanta,houston,charlotte,,,,,,,,,,,,houston,,,,,,,,,,,,,,,,,,,,,,,,,,,houston,,,,,,,,,,,houston,,,,,houston,,,,,,,,,houston,,,,,,,,,,,,,,dallas,,,,,
19,,houston,,,,,,,milwaukee,,,,,,,,,,,,,,,,,,,,,dallas,houston,minneapolis,charlotte,,,,,,atlanta,,,,,houston,,,,,,,,,chicago,new york,detroit,philadelphia,houston,,,,,,,,houston,,,,,,houston,los angeles,houston,charlotte,,,,,,,,,,,,houston,,,,,,,,,,,,atlanta,,,,,,dallas,charlotte,,,,,,,,,,,,,,houston,,,,,,,,,,,dallas,charlotte,,,,,,,,,,,,,houston,milwaukee,atlanta,houston,,,,,,houston,dallas,,,,,,milwaukee,,,,,,chicago,,,,,,houston,,,,,
20,,,,,,,,,oakland,los angeles,sacramento,,,,,,,oakland,chicago,los angeles,oklahoma city,dallas,los angeles,oklahoma city,,,,,,,,,,,,,oakland,,,,,,,,,,,,,,,,,,,,,oakland,,,,,,,,,sacramento,waiting,sacramento,,,,,,,,,,,,,,,sacramento,phoenix,dallas,,,,,sacramento,denver,dallas,oklahoma city,minneapolis,atlanta,,,,,,,,,,,,,,sacramento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sacramento,,,,,,,,,,,,,,,,,sacramento,,,,,,,,,,,,,oakland,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oklahoma city,los angeles
22,,,,,los angeles,los angeles,toronto,,,,,,,,,,,,,,,,indianapolis,,,,,,,los angeles,los angeles,memphis,orlando,miami,philadelphia,miami,,,,,toronto,washington,detroit,philadelphia,,,,,,,,,new orleans,,,,,,,philadelphia,,,,,boston,,,,,,boston,dallas,milwaukee,indianapolis,memphis,orlando,,,,,boston,philadelphia,,,,,,,,,,,,,,,,boston,,,,,,los angeles,,,,,,,,,philadelphia,,,,,,,,,,,,,,,,,,,,miami,new york,boston,new york,brooklyn,,,,,los angeles,,,,,,philadelphia,miami,orlando,philadelphia,,,,,,,,,,,new orleans,,,,,,,,miami,,,,,,miami,atlanta
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,los angeles,los angeles,dallas,,,,,,,,,,,,,,,,,,,,,,,los angeles,,,,,,,,,los angeles,,,,,,,,,,,,,,,,,los angeles,los angeles,memphis,houston,memphis,orlando,washington,,,,,los angeles,salt lake city,los angeles,,,,,,,,,,los angeles,,,,,,,los angeles,san antonio,washington,los angeles,los angeles,salt lake city,,,,,,,,,,,,,los angeles,los angeles,san antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,los angeles,,,,,,,los angeles,,,,,,,,,,,,portland,los angeles,portland,washington,new york,charlotte,,,,,,los angeles,los angeles,los angeles,salt lake city,,,,,,portland,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
