-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177
11,16,22,22,22,22,22,16,16,16,22,22,22,22,22,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16
12,13,24,24,29,8,8,13,13,13,13,13,13,13,13,13,10,10,10,10,10,13,13,13,24,24,24,24,24,13,13,13,13,24,24,24,24,24,13,13,13,26,10,10,25,25,13,13,13,13,24,24,24,24,24,13,13,13,29,29,29,24,24,13,13,13,13,13,10,26,26,10,10,13,13,13,13,24,24,24,24,24,13,13,13,24,24,24,24,24,13,13,13,10,10,25,25,25,13,13,13,24,24,24,24,24,13,13,13,29,29,29,29,29,13,13,13,29,29,8,8,12,13,13,13,13,13,13,13,13,13,29,29,29,29,29,13,13,13,13,29,29,24,24,24,13,13,13,13,24,24,24,24,24,13,13,13,26,26,10,10,10,13,13,13,29,24,24,24,24,13,13,13,13,10,10,10,10
13,27,11,11,19,19,19,27,27,27,27,11,11,21,8,8,27,27,27,27,27,21,7,7,21,21,27,27,27,27,27,11,19,19,19,15,27,27,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,27,27,27,7,7,7,11,11,27,27,27,27,27,27,27,11,11,11,11,11,27,27,27,27,11,11,15,15,15,27,27,27,27,27,27,11,21,7,11,11,27,27,27,11,11,11,21,21,27,27,27,11,11,11,19,19,27,27,27,27,21,7,21,7,7,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,11,11,7,21,21,27,27,27,27,27,27,11,11,11,11,19,27,27,27,21,21,21,21,21,27,27,27,27,27,27,27,11,11,11,19,19,27,27,27,11,11,11,11,19,27
14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,23,3,23,30,2,2,2,2,2,2,2,2,2,3,3,23,3,30,2,2,2,2,23,30,30,4,4,2,2,2,2,2,20,20,3,3,3,2,2,2,2,2,2,23,23,30,30,30,2,2,2,2,2,2,20,3,3,30,30,2,2,2,2,2,2,2,2,2,23,30,30,30,30,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,20,30,30,30,23,2,2,2,2,2,2,2,20,20,20,20,20,2,2,2,2,2,2,2,2,20,3,20,3,23,2,2,2,2,2,2,20,23,30,30,30,2,2,2,20,20,20,23,30,2,2,2,2,2,2,2,2,20,20,20,20,30,2,2,2,20,20,20,3
15,16,22,22,22,22,22,16,16,16,22,22,22,22,22,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16
16,9,9,9,9,9,6,28,28,28,28,9,9,9,9,9,9,6,6,5,17,17,9,9,9,9,9,9,28,28,28,28,28,9,9,9,9,6,6,28,6,6,9,9,9,9,9,6,6,28,28,28,9,9,9,9,17,17,17,17,17,9,9,9,9,9,9,9,9,12,12,12,12,12,9,9,9,9,9,6,6,6,6,28,9,9,9,9,9,9,9,9,12,12,12,12,12,9,9,9,9,9,6,6,6,6,6,9,9,9,6,6,6,6,6,9,9,9,9,6,6,6,6,6,9,9,9,9,9,6,28,28,28,28,9,9,9,9,6,6,6,6,6,9,9,9,9,6,6,6,28,28,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,5,5,5,5,17
17,24,24,24,24,24,24,13,13,13,13,13,24,24,24,24,24,24,24,24,24,29,25,26,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,29,29,13,13,13,24,24,24,29,13,29,29,13,24,24,24,24,24,24,24,24,13,13,29,13,13,24,24,24,24,24,24,24,24,24,24,24,13,26,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,29,29,29,29,29,24,24,24,29,29,8,8,8,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,29,13,29,29,13,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,13,29,8,29,29,24,24,24,24,24,24,24,29,29,25,25,25,24
18,19,19,19,15,15,15,15,15,19,19,19,15,15,15,15,15,19,19,19,19,19,19,15,15,15,15,15,19,19,19,11,11,11,27,27,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,15,15,15,21,21,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,19,11,11,11,27,11,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,11,7,7,27,27,19,19,19,19,19,15,15,15,15,15,19,19,19,27,27,27,11,11,19,19,19,15
19,19,19,19,15,15,15,15,15,19,19,19,15,15,15,15,15,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,11,27,27,27,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,27,27,27,27,27,19,19,19,19,19,19,19,19,19,21,21,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,19,15,15,15,15,15,19,19,19,19,19,11,7,7,27,27,19,19,19,19,19,19,19,19,19,19,19,27,27,21,7,7,19,19,19,19,19,15
20,25,25,25,25,25,25,10,10,26,26,26,25,25,25,25,25,25,10,10,13,29,29,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,13,13,29,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,26,25,25,25,25,25,25,25,10,13,13,13,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,10,26,26,10,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,10,10,25,25,25,25
21,25,25,25,25,25,25,10,10,26,26,26,25,25,25,25,25,25,25,25,25,10,10,26,10,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,13,25
22,5,5,5,18,18,18,18,18,5,5,5,17,17,17,17,17,5,5,5,5,5,5,5,5,5,5,5,18,18,18,18,18,5,5,5,5,17,17,17,17,17,5,5,5,5,5,18,18,18,18,18,5,5,5,5,17,17,17,17,17,5,5,5,5,17,17,17,17,17,5,5,5,5,12,17,17,17,17,5,5,5,5,5,5,5,5,5,18,18,18,18,18,5,5,5,5,12,17,17,17,17,5,5,5,12,12,12,12,8,5,5,5,12,17,17,17,17,5,5,5,5,5,5,5,5,5,5,5,17,17,17,17,18,5,5,5,5,5,5,5,18,18,18,18,18,5,5,5,5,5,5,5,17,17,17,17,17,5,5,5,5,17,17,17,17,17,5,5,5,5,5,12,17,17,17,17,5
23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,22,22,22,22,22,16,16,16,16,16,16,16,16,16,16,16,16
24,21,21,21,21,7,7,7,19,19,21,21,21,7,7,11,11,11,21,21,21,21,21,21,21,21,7,7,15,15,15,21,21,21,21,21,21,7,7,7,7,7,21,21,21,21,27,11,27,27,27,21,21,21,7,27,7,27,27,21,21,21,7,11,11,11,11,21,21,21,21,21,7,7,7,7,7,21,21,21,21,21,27,27,11,11,11,21,21,21,7,7,7,7,7,21,21,21,21,7,7,7,7,7,21,21,21,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,21,21,21,21,21,21,21,21,7,7,7,7,7,21,21,21,7,7,7,7,19,21,21,21,7,7,7,11,11,21,21,21,7,7,27,27,11,21,21,21,7,7,27,27,27,21,21,21,7,7,7,7,7,21,21,21
25,9,9,9,9,9,6,28,28,28,28,9,9,9,9,9,9,9,9,12,12,12,12,12,9,9,9,9,28,28,28,28,28,9,9,9,9,6,6,28,28,28,9,9,9,9,9,6,6,28,28,28,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,6,6,6,6,28,9,9,9,9,9,9,9,9,17,17,17,18,18,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,18,18,18,18,18,9,9,9,9,9,9,9,6,6,6,28,2,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,17
26,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
27,9,9,9,9,9,9,9,9,6,6,28,6,6,9,9,9,9,9,12,12,12,12,12,9,9,9,9,9,6,6,6,6,6,9,9,9,6,6,28,28,28,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,6,6,6,6,28,9,9,9,9,9,9,9,9,17,17,17,18,18,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,18,18,18,18,18,9,9,9,9,9,9,9,6,6,6,28,28,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6
28,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
29,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,4,4,4,4,1,19,19,19,19,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,1,15,15,15,15,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1
30,29,13,13,13,13,13,29,29,29,29,29,29,13,13,13,10,10,29,29,29,8,8,8,8,8,29,29,29,29,24,24,24,24,24,29,29,29,29,13,13,13,10,10,29,29,29,29,13,13,13,13,13,29,29,29,8,8,12,12,8,29,29,29,29,29,29,29,13,13,13,13,13,29,29,29,29,29,13,24,24,24,24,29,29,29,13,13,10,26,26,29,29,29,29,13,13,13,13,24,29,29,29,8,27,27,11,19,29,29,29,29,29,29,29,29,24,24,24,24,24,29,29,29,29,29,29,29,29,13,13,13,13,13,29,29,29,29,8,8,8,8,8,29,29,29,29,13,13,24,24,24,29,29,29,13,13,10,13,25,29,29,29,29,29,13,13,13,24,24,29,29,29,29,25,25,25,25
31,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
32,12,12,12,12,5,5,17,17,5,12,12,12,12,5,5,5,5,5,12,12,12,12,12,12,8,8,8,8,8,12,12,12,5,5,17,17,5,12,12,12,12,12,8,8,8,8,8,12,12,12,17,17,5,5,5,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,12,12,12,8,29,29,29,13,12,12,12,8,8,8,8,29,12,12,12,8,8,8,8,8,12,12,12,12,12,5,5,5,5,5,12,12,12,12,8,8,8,8,8,12,12,12,5,5,5,5,5,12,12,12,12,12,12,12,12,12,5,5,5,5,5,12,12,12,5,5,18,18,18,12,12,12,12,8,8,8,8,8,12,12,12,5,5,17,5,17,12,12,12,12,12,12,8,8,8,8,8,12,12,12,12,12,8
33,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,4,4,4,4,4,4,1,19,19,19,19,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,1,15,15,15,15,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1
34,15,15,15,15,15,15,15,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,15,15,15,15,15,7,7,7,7,7,15,15,15,15,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,7,11,11,11,15,15,15,15,15,15,15,15,19,19,19,19,19,15,15,15,15,21,7,21,7,27,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,11,15,15,15,15,15,15,15,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,27,11,11,27,27,15,15,15,15,19,19,27,27,27,15,15,15,21,21,21,21,21,15,15,15,15,15,15,15,15,15,15,27,27,27,19,19,15,15,15,15,15,15
35,10,26,25,25,25,25,10,10,10,10,10,10,10,10,10,13,13,29,8,8,10,10,10,10,26,26,25,25,25,10,10,10,10,10,26,26,26,26,26,10,10,10,10,13,13,24,24,24,10,10,10,25,25,25,25,25,10,10,10,26,26,26,26,26,10,10,10,13,13,13,29,13,10,10,10,10,10,26,26,26,25,25,10,10,10,10,26,25,25,25,25,10,10,10,10,10,10,13,24,24,24,24,10,10,10,10,26,26,26,26,26,10,10,10,10,26,26,26,26,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,26,26,26,26,10,10,10,10,13,13,13,29,8,10,10,10,10,26,25,25,25,25,10,10,10,10,13,24,24,29,29,10,10,10,25,25,13,13,26,10,10,10
36,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
37,28,28,28,28,28,28,28,9,6,9,9,9,28,28,28,28,2,2,2,2,20,28,28,28,28,28,9,9,6,6,6,28,28,28,28,28,28,28,28,28,28,28,28,28,28,9,9,9,9,9,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,2,2,2,2,28,28,28,28,28,28,28,28,28,28,9,9,9,6,6,28,28,28,28,28,28,28,28,28,28,28,2,2,2,2,2,28,28,28,28,28,28,28,28,28,9,9,9,9,9,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,9,9,9,9,9,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,9,9,9,9,6,28,28,28
