AWAY,HOME,DATE,DAY,CHANNEL
Memphis Grizzlies,New York Knicks,2/3,111,X
Oklahoma City Thunder,Boston Celtics,2/3,111,ABC
Los Angeles Clippers,Toronto Raptors,2/3,111,X
Denver Nuggets,Detroit Pistons,2/4,112,X
Atlanta Hawks,Washington Wizards,2/4,112,X
Milwaukee Bucks,Brooklyn Nets,2/4,112,NBA TV
Indiana Pacers,New Orleans Pelicans,2/4,112,X
Houston Rockets,Phoenix Suns,2/4,112,X
San Antonio Spurs,Sacramento Kings,2/4,112,NBA TV
Los Angeles Clippers,Charlotte Hornets,2/5,113,X
Boston Celtics,Cleveland Cavaliers,2/5,113,X
Los Angeles Lakers,Indiana Pacers,2/5,113,X
Detroit Pistons,New York Knicks,2/5,113,X
Toronto Raptors,Philadelphia 76ers,2/5,113,TNT
Minnesota Timberwolves,Memphis Grizzlies,2/5,113,X
Orlando Magic,Oklahoma City Thunder,2/5,113,X
Miami Heat,Portland Trail Blazers,2/5,113,TNT
Denver Nuggets,Brooklyn Nets,2/6,114,X
New Orleans Pelicans,Chicago Bulls,2/6,114,X
Washington Wizards,Milwaukee Bucks,2/6,114,ESPN
Charlotte Hornets,Dallas Mavericks,2/6,114,X
Phoenix Suns,Utah Jazz,2/6,114,X
Houston Rockets,Sacramento Kings,2/6,114,X
San Antonio Spurs,Golden State Warriors,2/6,114,ESPN
Los Angeles Clippers,Indiana Pacers,2/7,115,X
Minnesota Timberwolves,Orlando Magic,2/7,115,X
Toronto Raptors,Atlanta Hawks,2/7,115,X
Los Angeles Lakers,Boston Celtics,2/7,115,TNT
Memphis Grizzlies,Oklahoma City Thunder,2/7,115,X
San Antonio Spurs,Portland Trail Blazers,2/7,115,TNT
New York Knicks,Detroit Pistons,2/8,116,X
Denver Nuggets,Philadelphia 76ers,2/8,116,ESPN
Cleveland Cavaliers,Washington Wizards,2/8,116,X
Chicago Bulls,Brooklyn Nets,2/8,116,X
Milwaukee Bucks,Dallas Mavericks,2/8,116,X
Golden State Warriors,Phoenix Suns,2/8,116,X
Minnesota Timberwolves,New Orleans Pelicans,2/8,116,ESPN
Miami Heat,Sacramento Kings,2/8,116,X
San Antonio Spurs,Utah Jazz,2/9,117,X
Cleveland Cavaliers,Indiana Pacers,2/9,117,X
Charlotte Hornets,Atlanta Hawks,2/9,117,X
Toronto Raptors,New York Knicks,2/9,117,X
Los Angeles Clippers,Boston Celtics,2/9,117,X
Washington Wizards,Chicago Bulls,2/9,117,X
New Orleans Pelicans,Memphis Grizzlies,2/9,117,X
Oklahoma City Thunder,Houston Rockets,2/9,117,ABC
Orlando Magic,Milwaukee Bucks,2/9,117,X
Portland Trail Blazers,Dallas Mavericks,2/10,118,X
Los Angeles Lakers,Philadelphia 76ers,2/10,118,ABC
Phoenix Suns,Sacramento Kings,2/10,118,X
Orlando Magic,Atlanta Hawks,2/10,118,X
Miami Heat,Golden State Warriors,2/10,118,NBA TV
New York Knicks,Cleveland Cavaliers,2/11,119,X
Washington Wizards,Detroit Pistons,2/11,119,NBA TV
Charlotte Hornets,Indiana Pacers,2/11,119,X
Brooklyn Nets,Toronto Raptors,2/11,119,X
Milwaukee Bucks,Chicago Bulls,2/11,119,X
Dallas Mavericks,Houston Rockets,2/11,119,X
Los Angeles Clippers,Minnesota Timberwolves,2/11,119,X
Portland Trail Blazers,Oklahoma City Thunder,2/11,119,X
Miami Heat,Denver Nuggets,2/11,119,X
Los Angeles Lakers,Atlanta Hawks,2/12,120,X
Boston Celtics,Philadelphia 76ers,2/12,120,TNT
San Antonio Spurs,Memphis Grizzlies,2/12,120,X
Orlando Magic,New Orleans Pelicans,2/12,120,X
Utah Jazz,Golden State Warriors,2/12,120,TNT
Brooklyn Nets,Cleveland Cavaliers,2/13,121,ESPN
Milwaukee Bucks,Indiana Pacers,2/13,121,X
Detroit Pistons,Boston Celtics,2/13,121,X
Philadelphia 76ers,New York Knicks,2/13,121,X
Washington Wizards,Toronto Raptors,2/13,121,X
Memphis Grizzlies,Chicago Bulls,2/13,121,X
Miami Heat,Dallas Mavericks,2/13,121,X
Sacramento Kings,Denver Nuggets,2/13,121,X
Houston Rockets,Minnesota Timberwolves,2/13,121,ESPN
Golden State Warriors,Portland Trail Blazers,2/13,121,X
Phoenix Suns,Los Angeles Clippers,2/13,121,X
Charlotte Hornets,Orlando Magic,2/14,122,X
New York Knicks,Atlanta Hawks,2/14,122,X
Oklahoma City Thunder,New Orleans Pelicans,2/14,122,TNT
Phoenix Suns,Cleveland Cavaliers,2/21,129,X
Miami Heat,Philadelphia 76ers,2/21,129,X
Portland Trail Blazers,Brooklyn Nets,2/21,129,X
Boston Celtics,Milwaukee Bucks,2/21,129,TNT
Sacramento Kings,Golden State Warriors,2/21,129,X
Houston Rockets,Los Angeles Lakers,2/21,129,TNT
Washington Wizards,Charlotte Hornets,2/22,130,X
New Orleans Pelicans,Indiana Pacers,2/22,130,X
Chicago Bulls,Orlando Magic,2/22,130,X
San Antonio Spurs,Toronto Raptors,2/22,130,ESPN
Detroit Pistons,Atlanta Hawks,2/22,130,X
Minnesota Timberwolves,New York Knicks,2/22,130,X
Los Angeles Clippers,Memphis Grizzlies,2/22,130,X
Denver Nuggets,Dallas Mavericks,2/22,130,X
Utah Jazz,Oklahoma City Thunder,2/22,130,ESPN
Portland Trail Blazers,Philadelphia 76ers,2/23,131,X
Phoenix Suns,Atlanta Hawks,2/23,131,X
Brooklyn Nets,Charlotte Hornets,2/23,131,X
Memphis Grizzlies,Cleveland Cavaliers,2/23,131,X
Indiana Pacers,Washington Wizards,2/23,131,X
Los Angeles Lakers,New Orleans Pelicans,2/23,131,X
Detroit Pistons,Miami Heat,2/23,131,X
Boston Celtics,Chicago Bulls,2/23,131,X
Sacramento Kings,Oklahoma City Thunder,2/23,131,X
Minnesota Timberwolves,Milwaukee Bucks,2/23,131,X
Houston Rockets,Golden State Warriors,2/23,131,ABC
Dallas Mavericks,Utah Jazz,2/23,131,X
Orlando Magic,Toronto Raptors,2/24,132,X
Los Angeles Clippers,Denver Nuggets,2/24,132,X
San Antonio Spurs,New York Knicks,2/24,132,NBA TV
Golden State Warriors,Charlotte Hornets,2/25,133,X
Portland Trail Blazers,Cleveland Cavaliers,2/25,133,X
Indiana Pacers,Detroit Pistons,2/25,133,X
San Antonio Spurs,Brooklyn Nets,2/25,133,X
Phoenix Suns,Miami Heat,2/25,133,X
Milwaukee Bucks,Chicago Bulls,2/25,133,X
Atlanta Hawks,Houston Rockets,2/25,133,X
Los Angeles Lakers,Memphis Grizzlies,2/25,133,X
Sacramento Kings,Minnesota Timberwolves,2/25,133,X
Philadelphia 76ers,New Orleans Pelicans,2/25,133,NBA TV
Dallas Mavericks,Los Angeles Clippers,2/25,133,NBA TV
Orlando Magic,New York Knicks,2/26,134,X
Boston Celtics,Toronto Raptors,2/26,134,TNT
Oklahoma City Thunder,Denver Nuggets,2/26,134,TNT
Houston Rockets,Charlotte Hornets,2/27,135,X
Minnesota Timberwolves,Atlanta Hawks,2/27,135,X
Portland Trail Blazers,Boston Celtics,2/27,135,X
Washington Wizards,Brooklyn Nets,2/27,135,X
Golden State Warriors,Miami Heat,2/27,135,X
Chicago Bulls,Memphis Grizzlies,2/27,135,X
Detroit Pistons,San Antonio Spurs,2/27,135,ESPN
Indiana Pacers,Dallas Mavericks,2/27,135,X
Los Angeles Clippers,Utah Jazz,2/27,135,X
Milwaukee Bucks,Sacramento Kings,2/27,135,X
New Orleans Pelicans,Los Angeles Lakers,2/27,135,ESPN
Minnesota Timberwolves,Indiana Pacers,2/28,136,TNT
Golden State Warriors,Orlando Magic,2/28,136,X
Cleveland Cavaliers,New York Knicks,2/28,136,X
Miami Heat,Houston Rockets,2/28,136,X
Utah Jazz,Denver Nuggets,2/28,136,X
Philadelphia 76ers,Oklahoma City Thunder,2/28,136,TNT
Chicago Bulls,Atlanta Hawks,3/1,137,X
Charlotte Hornets,Brooklyn Nets,3/1,137,X
Portland Trail Blazers,Toronto Raptors,3/1,137,X
Washington Wizards,Boston Celtics,3/1,137,ESPN
New Orleans Pelicans,Phoenix Suns,3/1,137,X
Los Angeles Clippers,Sacramento Kings,3/1,137,X
Milwaukee Bucks,Los Angeles Lakers,3/1,137,ESPN
Detroit Pistons,Cleveland Cavaliers,3/2,138,X
Orlando Magic,Indiana Pacers,3/2,138,X
Brooklyn Nets,Miami Heat,3/2,138,X
Golden State Warriors,Philadelphia 76ers,3/2,138,ABC
Memphis Grizzlies,Dallas Mavericks,3/2,138,X
Oklahoma City Thunder,San Antonio Spurs,3/2,138,X
New Orleans Pelicans,Denver Nuggets,3/2,138,X
Los Angeles Lakers,Phoenix Suns,3/2,138,X
Milwaukee Bucks,Utah Jazz,3/2,138,X
Portland Trail Blazers,Charlotte Hornets,3/3,139,X
Houston Rockets,Boston Celtics,3/3,139,ABC
Atlanta Hawks,Chicago Bulls,3/3,139,X
New York Knicks,Los Angeles Clippers,3/3,139,X
Orlando Magic,Cleveland Cavaliers,3/3,139,X
Toronto Raptors,Detroit Pistons,3/3,139,X
Minnesota Timberwolves,Washington Wizards,3/3,139,X
Memphis Grizzlies,Oklahoma City Thunder,3/3,139,NBA TV
Dallas Mavericks,Brooklyn Nets,3/4,140,NBA TV
Atlanta Hawks,Miami Heat,3/4,140,X
Denver Nuggets,San Antonio Spurs,3/4,140,X
Milwaukee Bucks,Phoenix Suns,3/4,140,X
New Orleans Pelicans,Utah Jazz,3/4,140,X
New York Knicks,Sacramento Kings,3/4,140,X
Los Angeles Clippers,Los Angeles Lakers,3/4,140,NBA TV
Chicago Bulls,Indiana Pacers,3/5,141,X
Orlando Magic,Philadelphia 76ers,3/5,141,X
Houston Rockets,Toronto Raptors,3/5,141,TNT
Portland Trail Blazers,Memphis Grizzlies,3/5,141,X
Oklahoma City Thunder,Minnesota Timberwolves,3/5,141,X
Boston Celtics,Golden State Warriors,3/5,141,TNT
Miami Heat,Charlotte Hornets,3/6,142,X
Minnesota Timberwolves,Detroit Pistons,3/6,142,X
Dallas Mavericks,Washington Wizards,3/6,142,X
San Antonio Spurs,Atlanta Hawks,3/6,142,X
Cleveland Cavaliers,Brooklyn Nets,3/6,142,X
Philadelphia 76ers,Chicago Bulls,3/6,142,ESPN
Utah Jazz,New Orleans Pelicans,3/6,142,X
New York Knicks,Phoenix Suns,3/6,142,X
Boston Celtics,Sacramento Kings,3/6,142,X
Denver Nuggets,Los Angeles Lakers,3/6,142,ESPN
Indiana Pacers,Milwaukee Bucks,3/7,143,TNT
Oklahoma City Thunder,Portland Trail Blazers,3/7,143,TNT
Washington Wizards,Charlotte Hornets,3/8,144,X
Dallas Mavericks,Orlando Magic,3/8,144,X
Cleveland Cavaliers,Miami Heat,3/8,144,X
Detroit Pistons,Chicago Bulls,3/8,144,X
Philadelphia 76ers,Houston Rockets,3/8,144,ESPN
Utah Jazz,Memphis Grizzlies,3/8,144,X
Toronto Raptors,New Orleans Pelicans,3/8,144,X
Denver Nuggets,Golden State Warriors,3/8,144,ESPN
Oklahoma City Thunder,Los Angeles Clippers,3/8,144,X
Sacramento Kings,New York Knicks,3/9,145,X
Brooklyn Nets,Atlanta Hawks,3/9,145,X
Washington Wizards,Minnesota Timberwolves,3/9,145,X
Boston Celtics,Los Angeles Lakers,3/9,145,ABC
Charlotte Hornets,Milwaukee Bucks,3/9,145,X
Phoenix Suns,Portland Trail Blazers,3/9,145,X
Chicago Bulls,Detroit Pistons,3/10,146,X
Toronto Raptors,Miami Heat,3/10,146,X
Indiana Pacers,Philadelphia 76ers,3/10,146,ABC
New Orleans Pelicans,Atlanta Hawks,3/10,146,NBA TV
Orlando Magic,Memphis Grizzlies,3/10,146,X
Houston Rockets,Dallas Mavericks,3/10,146,X
New York Knicks,Minnesota Timberwolves,3/10,146,X
Milwaukee Bucks,San Antonio Spurs,3/10,146,X
Phoenix Suns,Golden State Warriors,3/10,146,NBA TV
Toronto Raptors,Cleveland Cavaliers,3/11,147,NBA TV
Sacramento Kings,Washington Wizards,3/11,147,X
Detroit Pistons,Brooklyn Nets,3/11,147,X
Charlotte Hornets,Houston Rockets,3/11,147,X
Oklahoma City Thunder,Utah Jazz,3/11,147,X
Boston Celtics,Los Angeles Clippers,3/11,147,NBA TV
New York Knicks,Indiana Pacers,3/12,148,X
Cleveland Cavaliers,Philadelphia 76ers,3/12,148,X
Los Angeles Lakers,Chicago Bulls,3/12,148,X
Milwaukee Bucks,New Orleans Pelicans,3/12,148,TNT
San Antonio Spurs,Dallas Mavericks,3/12,148,X
Minnesota Timberwolves,Denver Nuggets,3/12,148,TNT
Portland Trail Blazers,Los Angeles Clippers,3/12,148,X
Detroit Pistons,Miami Heat,3/13,149,ESPN
Orlando Magic,Washington Wizards,3/13,149,X
Memphis Grizzlies,Atlanta Hawks,3/13,149,X
Brooklyn Nets,Oklahoma City Thunder,3/13,149,X
Golden State Warriors,Houston Rockets,3/13,149,ESPN
Utah Jazz,Phoenix Suns,3/13,149,X
Oklahoma City Thunder,Indiana Pacers,3/14,150,X
Cleveland Cavaliers,Orlando Magic,3/14,150,X
Sacramento Kings,Boston Celtics,3/14,150,X
Los Angeles Lakers,Toronto Raptors,3/14,150,TNT
Minnesota Timberwolves,Utah Jazz,3/14,150,X
Dallas Mavericks,Denver Nuggets,3/14,150,TNT
Los Angeles Lakers,Detroit Pistons,3/15,151,NBA TV
Sacramento Kings,Philadelphia 76ers,3/15,151,X
Charlotte Hornets,Washington Wizards,3/15,151,X
Milwaukee Bucks,Miami Heat,3/15,151,X
Phoenix Suns,Houston Rockets,3/15,151,X
Portland Trail Blazers,New Orleans Pelicans,3/15,151,X
New York Knicks,San Antonio Spurs,3/15,151,X
Chicago Bulls,Los Angeles Clippers,3/15,151,NBA TV
Atlanta Hawks,Boston Celtics,3/16,152,X
Memphis Grizzlies,Washington Wizards,3/16,152,X
Phoenix Suns,New Orleans Pelicans,3/16,152,X
Cleveland Cavaliers,Dallas Mavericks,3/16,152,X
Golden State Warriors,Oklahoma City Thunder,3/16,152,ABC
Portland Trail Blazers,San Antonio Spurs,3/16,152,X
Indiana Pacers,Denver Nuggets,3/16,152,X
Brooklyn Nets,Utah Jazz,3/16,152,X
Los Angeles Lakers,New York Knicks,3/17,153,X
Charlotte Hornets,Miami Heat,3/17,153,X
Philadelphia 76ers,Milwaukee Bucks,3/17,153,ABC
Toronto Raptors,Detroit Pistons,3/17,153,X
Atlanta Hawks,Orlando Magic,3/17,153,X
Chicago Bulls,Sacramento Kings,3/17,153,X
Minnesota Timberwolves,Houston Rockets,3/17,153,ESPN
Brooklyn Nets,Los Angeles Clippers,3/17,153,X
Detroit Pistons,Cleveland Cavaliers,3/18,154,X
Utah Jazz,Washington Wizards,3/18,154,X
Denver Nuggets,Boston Celtics,3/18,154,X
New York Knicks,Toronto Raptors,3/18,154,X
Miami Heat,Oklahoma City Thunder,3/18,154,X
Golden State Warriors,San Antonio Spurs,3/18,154,ESPN
New Orleans Pelicans,Dallas Mavericks,3/18,154,X
Chicago Bulls,Phoenix Suns,3/18,154,X
Indiana Pacers,Portland Trail Blazers,3/18,154,ESPN
Philadelphia 76ers,Charlotte Hornets,3/19,155,X
Houston Rockets,Atlanta Hawks,3/19,155,X
Los Angeles Lakers,Milwaukee Bucks,3/19,155,NBA TV
Golden State Warriors,Minnesota Timberwolves,3/19,155,X
Brooklyn Nets,Sacramento Kings,3/19,155,X
Indiana Pacers,Los Angeles Clippers,3/19,155,NBA TV
Milwaukee Bucks,Cleveland Cavaliers,3/20,156,X
New Orleans Pelicans,Orlando Magic,3/20,156,X
Boston Celtics,Philadelphia 76ers,3/20,156,ESPN
Utah Jazz,New York Knicks,3/20,156,X
Washington Wizards,Chicago Bulls,3/20,156,X
Houston Rockets,Memphis Grizzlies,3/20,156,X
Miami Heat,San Antonio Spurs,3/20,156,X
Toronto Raptors,Oklahoma City Thunder,3/20,156,ESPN
Dallas Mavericks,Portland Trail Blazers,3/20,156,X
Minnesota Timberwolves,Charlotte Hornets,3/21,157,X
Denver Nuggets,Washington Wizards,3/21,157,NBA TV
Utah Jazz,Atlanta Hawks,3/21,157,X
Detroit Pistons,Phoenix Suns,3/21,157,X
Dallas Mavericks,Sacramento Kings,3/21,157,X
Indiana Pacers,Golden State Warriors,3/21,157,X
Memphis Grizzlies,Orlando Magic,3/22,158,X
Los Angeles Clippers,Cleveland Cavaliers,3/22,158,X
Denver Nuggets,New York Knicks,3/22,158,X
Oklahoma City Thunder,Toronto Raptors,3/22,158,X
San Antonio Spurs,Houston Rockets,3/22,158,NBA TV
Miami Heat,Milwaukee Bucks,3/22,158,X
Brooklyn Nets,Los Angeles Lakers,3/22,158,X
Boston Celtics,Charlotte Hornets,3/23,159,X
Miami Heat,Washington Wizards,3/23,159,X
Philadelphia 76ers,Atlanta Hawks,3/23,159,NBA TV
Utah Jazz,Chicago Bulls,3/23,159,X
Minnesota Timberwolves,Memphis Grizzlies,3/23,159,X
Dallas Mavericks,Golden State Warriors,3/23,159,X
Detroit Pistons,Portland Trail Blazers,3/23,159,NBA TV
Phoenix Suns,Sacramento Kings,3/23,159,X
Los Angeles Clippers,New York Knicks,3/24,160,X
Cleveland Cavaliers,Milwaukee Bucks,3/24,160,X
Denver Nuggets,Indiana Pacers,3/24,160,X
Charlotte Hornets,Toronto Raptors,3/24,160,X
Houston Rockets,New Orleans Pelicans,3/24,160,X
San Antonio Spurs,Boston Celtics,3/24,160,NBA TV
Detroit Pistons,Golden State Warriors,3/24,160,X
Sacramento Kings,Los Angeles Lakers,3/24,160,X
Philadelphia 76ers,Orlando Magic,3/25,161,NBA TV
Oklahoma City Thunder,Memphis Grizzlies,3/25,161,X
Phoenix Suns,Utah Jazz,3/25,161,X
Brooklyn Nets,Portland Trail Blazers,3/25,161,NBA TV
San Antonio Spurs,Charlotte Hornets,3/26,162,X
Boston Celtics,Cleveland Cavaliers,3/26,162,X
Orlando Magic,Miami Heat,3/26,162,X
Chicago Bulls,Toronto Raptors,3/26,162,X
Houston Rockets,Milwaukee Bucks,3/26,162,TNT
Los Angeles Clippers,Minnesota Timberwolves,3/26,162,X
Atlanta Hawks,New Orleans Pelicans,3/26,162,X
Sacramento Kings,Dallas Mavericks,3/26,162,X
Detroit Pistons,Denver Nuggets,3/26,162,X
Washington Wizards,Los Angeles Lakers,3/26,162,TNT
Portland Trail Blazers,Chicago Bulls,3/27,163,X
Golden State Warriors,Memphis Grizzlies,3/27,163,X
Indiana Pacers,Oklahoma City Thunder,3/27,163,ESPN
Washington Wizards,Phoenix Suns,3/27,163,X
Los Angeles Lakers,Utah Jazz,3/27,163,ESPN
Orlando Magic,Detroit Pistons,3/28,164,X
Brooklyn Nets,Philadelphia 76ers,3/28,164,X
Dallas Mavericks,Miami Heat,3/28,164,X
Toronto Raptors,New York Knicks,3/28,164,X
Denver Nuggets,Houston Rockets,3/28,164,NBA TV
Los Angeles Clippers,Milwaukee Bucks,3/28,164,X
Sacramento Kings,New Orleans Pelicans,3/28,164,X
Cleveland Cavaliers,San Antonio Spurs,3/28,164,X
Indiana Pacers,Boston Celtics,3/29,165,NBA TV
Portland Trail Blazers,Atlanta Hawks,3/29,165,X
Golden State Warriors,Minnesota Timberwolves,3/29,165,X
Denver Nuggets,Oklahoma City Thunder,3/29,165,X
Washington Wizards,Utah Jazz,3/29,165,X
Charlotte Hornets,Los Angeles Lakers,3/29,165,X
Cleveland Cavaliers,Los Angeles Clippers,3/30,166,X
Boston Celtics,Brooklyn Nets,3/30,166,X
Sacramento Kings,Houston Rockets,3/30,166,X
Portland Trail Blazers,Detroit Pistons,3/30,166,X
Orlando Magic,Indiana Pacers,3/30,166,X
Miami Heat,New York Knicks,3/30,166,X
Toronto Raptors,Chicago Bulls,3/30,166,X
Philadelphia 76ers,Minnesota Timberwolves,3/30,166,NBA TV
Memphis Grizzlies,Phoenix Suns,3/30,166,X
Milwaukee Bucks,Atlanta Hawks,3/31,167,X
Dallas Mavericks,Oklahoma City Thunder,3/31,167,X
Los Angeles Lakers,New Orleans Pelicans,3/31,167,X
Sacramento Kings,San Antonio Spurs,3/31,167,X
Washington Wizards,Denver Nuggets,3/31,167,NBA TV
Charlotte Hornets,Golden State Warriors,3/31,167,X
Memphis Grizzlies,Los Angeles Clippers,3/31,167,X
Detroit Pistons,Indiana Pacers,4/1,168,X
Miami Heat,Boston Celtics,4/1,168,NBA TV
Milwaukee Bucks,Brooklyn Nets,4/1,168,X
Chicago Bulls,New York Knicks,4/1,168,X
Orlando Magic,Toronto Raptors,4/1,168,X
Portland Trail Blazers,Minnesota Timberwolves,4/1,168,X
Philadelphia 76ers,Dallas Mavericks,4/1,168,X
Charlotte Hornets,Utah Jazz,4/1,168,X
Cleveland Cavaliers,Phoenix Suns,4/1,168,NBA TV
Los Angeles Lakers,Oklahoma City Thunder,4/2,169,TNT
Atlanta Hawks,San Antonio Spurs,4/2,169,X
Houston Rockets,Sacramento Kings,4/2,169,X
Denver Nuggets,Golden State Warriors,4/2,169,TNT
Indiana Pacers,Detroit Pistons,4/3,170,X
New York Knicks,Orlando Magic,4/3,170,X
Chicago Bulls,Washington Wizards,4/3,170,X
Philadelphia 76ers,Atlanta Hawks,4/3,170,X
Toronto Raptors,Brooklyn Nets,4/3,170,X
Boston Celtics,Miami Heat,4/3,170,NBA TV
Charlotte Hornets,New Orleans Pelicans,4/3,170,X
Minnesota Timberwolves,Dallas Mavericks,4/3,170,X
San Antonio Spurs,Denver Nuggets,4/3,170,X
Utah Jazz,Phoenix Suns,4/3,170,X
Memphis Grizzlies,Portland Trail Blazers,4/3,170,X
Houston Rockets,Los Angeles Clippers,4/3,170,NBA TV
Milwaukee Bucks,Philadelphia 76ers,4/4,171,TNT
Cleveland Cavaliers,Sacramento Kings,4/4,171,X
Golden State Warriors,Los Angeles Lakers,4/4,171,TNT
Toronto Raptors,Charlotte Hornets,4/5,172,X
Atlanta Hawks,Orlando Magic,4/5,172,X
San Antonio Spurs,Washington Wizards,4/5,172,X
Boston Celtics,Indiana Pacers,4/5,172,ESPN
New York Knicks,Houston Rockets,4/5,172,X
Miami Heat,Minnesota Timberwolves,4/5,172,X
Detroit Pistons,Oklahoma City Thunder,4/5,172,X
Memphis Grizzlies,Dallas Mavericks,4/5,172,X
Sacramento Kings,Utah Jazz,4/5,172,X
New Orleans Pelicans,Phoenix Suns,4/5,172,X
Portland Trail Blazers,Denver Nuggets,4/5,172,ESPN
Cleveland Cavaliers,Golden State Warriors,4/5,172,X
Los Angeles Lakers,Los Angeles Clippers,4/5,172,X
Brooklyn Nets,Milwaukee Bucks,4/6,173,NBA TV
Philadelphia 76ers,Chicago Bulls,4/6,173,NBA TV
Miami Heat,Toronto Raptors,4/7,174,NBA TV
San Antonio Spurs,Cleveland Cavaliers,4/7,174,X
Oklahoma City Thunder,Minnesota Timberwolves,4/7,174,ABC
Charlotte Hornets,Detroit Pistons,4/7,174,X
Brooklyn Nets,Indiana Pacers,4/7,174,X
Dallas Mavericks,Memphis Grizzlies,4/7,174,X
Phoenix Suns,Houston Rockets,4/7,174,NBA TV
Atlanta Hawks,Milwaukee Bucks,4/7,174,X
Orlando Magic,Boston Celtics,4/7,174,X
Washington Wizards,New York Knicks,4/7,174,X
Los Angeles Clippers,Golden State Warriors,4/7,174,NBA TV
Denver Nuggets,Portland Trail Blazers,4/7,174,X
New Orleans Pelicans,Sacramento Kings,4/7,174,X
Utah Jazz,Los Angeles Lakers,4/7,174,X
Charlotte Hornets,Cleveland Cavaliers,4/9,176,X
Memphis Grizzlies,Detroit Pistons,4/9,176,X
Boston Celtics,Washington Wizards,4/9,176,TNT
Philadelphia 76ers,Miami Heat,4/9,176,X
New York Knicks,Chicago Bulls,4/9,176,X
Toronto Raptors,Minnesota Timberwolves,4/9,176,X
Golden State Warriors,New Orleans Pelicans,4/9,176,X
Phoenix Suns,Dallas Mavericks,4/9,176,X
Denver Nuggets,Utah Jazz,4/9,176,X
Houston Rockets,Oklahoma City Thunder,4/9,176,TNT
Portland Trail Blazers,Los Angeles Lakers,4/9,176,X
Indiana Pacers,Atlanta Hawks,4/10,177,X
Minnesota Timberwolves,Denver Nuggets,4/10,177,ESPN
Miami Heat,Brooklyn Nets,4/10,177,X
Orlando Magic,Charlotte Hornets,4/10,177,ESPN
Detroit Pistons,New York Knicks,4/10,177,X
Chicago Bulls,Philadelphia 76ers,4/10,177,X
Golden State Warriors,Memphis Grizzlies,4/10,177,X
Oklahoma City Thunder,Milwaukee Bucks,4/10,177,X
Dallas Mavericks,San Antonio Spurs,4/10,177,X
Utah Jazz,Los Angeles Clippers,4/10,177,X
Sacramento Kings,Portland Trail Blazers,4/10,177,X
